campaign_key,campaign_name,objective
1,Broadcast Neighbourhood Launch - Phase 1,Product Launch
2,Broadcast Neighbourhood Launch - Phase 2,Product Launch
3,Aviation IFC Acquisition Sprint H1 2025,Partner Acquisition
4,Aviation IFC Acquisition Sprint H2 2025,Partner Acquisition
5,Maritime Connectivity Onboarding,Partner Acquisition
6,Airline Co-Marketing Programme,Partner Engagement
7,Cruise Connectivity Launch,Partner Engagement
8,Maritime Demand Generation,Partner Engagement
9,Enterprise Backhaul Demand Gen,Partner Engagement
10,Telecom Backhaul Co-Branded Launch,Partner Engagement
11,Government Secure Link Launch,Partner Engagement
12,Mobility Backhaul Launch,Product Launch
13,Community Broadband Hub Push,Lead Gen
14,Education Connectivity Modernisation,Lead Gen
15,Emergency Services Comms Upgrade,Lead Gen
16,Transport Hub Connectivity Programme,Lead Gen
17,Maritime IoT/SCADA Awareness,Awareness
18,Public WiFi Backhaul Campaign,Lead Gen
19,Rural Cell Backhaul for MNOs,Product Launch
20,ORAN / Fronthaul Trial,Product Launch
21,Cloud On-Ramp AWS Edge,Product Launch
22,Cloud On-Ramp Azure Edge,Product Launch
23,Cloud On-Ramp Google Edge,Product Launch
24,Enterprise DIA Satellite Upgrade Offer,Upsell
25,SD-WAN with Satellite Path Offer,Upsell
26,Managed Video Platform Launch,Product Launch
27,Sat.TV Metadata Expansion,Product Launch
28,Partner Incentive Voucher Awareness,Awareness
29,PSTN/Legacy Migration to Satellite,Awareness
30,SMB Resilient Access Push,Lead Gen
31,Mobility SLA Upgrade Awareness,Upsell
32,Maritime Guest WiFi Upsell,Upsell
33,Aviation Premium SLA Awareness,Awareness
34,Net Adds Acceleration Q3 Mobility,Retention
35,Net Adds Acceleration Q4 Mobility,Retention
36,Partner Portal Upgrade,Partner Engagement
37,Partner Technical Accreditation,Partner Engagement
38,Customer NPS Improvement Programme,Retention
39,Service Delivery Excellence,Awareness
40,ESG & Responsible Space Impact,Awareness
41,Industry Analyst Relations,Awareness
42,Investor Update Roadshow,Awareness
43,Spectrum & Gateway Readiness Awareness,Awareness
44,Gateway/Teleport Modernisation,Awareness
45,Local Marketing Pop-Up Events,Awareness
46,Webinar Series: Multi-Orbit Performance,Lead Gen
47,Webinar Series: Partner GTM,Partner Engagement
48,Webinar Series: Network Resilience,Awareness
49,Case Study: Government Secure Link,Awareness
50,Case Study: Maritime Connectivity,Awareness
