vendor_key,vendor_name,vertical,address,city,county,postcode
1,Teleport Operator EU,Ground & Gateway,1 Gateway Way,Paris,FR,75001
2,Teleport Operator MEA,Ground & Gateway,12 Earth Station Road,Johannesburg,ZA,2001
3,Teleport Operator Americas,Ground & Gateway,88 Downlink Ave,Miami,US,33101
4,Teleport Operator APAC,Ground & Gateway,5 Uplink Street,Singapore,SG,018989
5,Ground Equipment Vendor,Satellite Hardware,20 Antenna Park,Munich,DE,80331
6,RF Systems Supplier,Satellite Hardware,44 Spectrum Blvd,Oslo,NO,0155
7,Modem/Terminal Partner,Satellite Hardware,77 Terminal Lane,Toulouse,FR,31000
8,Cloud Edge Partner,Cloud,99 Edge Zone,Frankfurt,DE,60311
9,Analytics Platform Partner,Analytics,15 Data Drive,Amsterdam,NL,1012
10,Security Partner,SOC/NOC,50 Shield Road,Brussels,BE,1000
11,Integration Partner,Services,8 Orbit Way,Dubai,AE,00000
12,Maritime Install Partner,Mobility,21 Port Access,Marseilles,FR,13001
13,Aviation Install Partner,Mobility,12 Aerotech Park,Dublin,IE,D01
14,MNO Backhaul Partner,Telecom,2 Carrier Plaza,Nairobi,KE,00100
15,Government Systems Partner,Government,17 Secure Link,Ottawa,CA,K1A0A2
16,Content Delivery Partner,Broadcast,61 Media Quay,London,UK,EC2A 2BB
17,Cloud Compute Partner,Cloud,10 Compute Way,Stockholm,SE,11122
18,Data Center Partner,Infrastructure,3 Colo Court,Zurich,CH,8001
19,Field Services LATAM,Services,22 Servicio Calle,Lima,PE,15001
20,Field Services APAC,Services,35 Install Blvd,Sydney,AU,2000
21,Spectrum Advisor,Spectrum,9 RF Plaza,Doha,QA,00000
22,Edge CDN Partner,Broadcast,7 CDN Way,Madrid,ES,28001
23,OSS/BSS Partner,Platform,14 Integration Row,Bangalore,IN,560001
24,Ticketing/Support Partner,Platform,6 Support Lane,Prague,CZ,11000
25,Finance/ERP Partner,Software,3 Ledger Street,Bucharest,RO,010101
26,HRIS Partner,Software,4 People Park,Vienna,AT,1010
27,Satellite Bus OEM,Satellite Hardware,11 Bus Way,Cannes,FR,06150
28,Launch Services Partner,Launch,18 Pad Road,Kourou,GF,97310
29,Payload Integration Partner,Satellite Hardware,27 Payload Ave,Rome,IT,00100
30,Energy Provider,Utilities,5 Power Street,Lagos,NG,101001
31,Logistics Partner,Supply Chain,13 Freight Road,Antwerp,BE,2000
32,Training Partner,Services,41 Learning Loop,Lisbon,PT,1100
33,Insurance Partner,Finance,23 Risk Row,Copenhagen,DK,1050
34,QA/Test Lab Partner,Quality,29 Test Park,Hamburg,DE,20095
35,Monitoring/Telemetry Partner,Analytics,31 Telemetry Way,Helsinki,FI,00100
36,Content Aggregator,Broadcast,39 Channel Street,Istanbul,TR,34000
37,Space Situational Awareness,Space Safety,26 SSA Road,Athens,GR,10552
38,Environmental Services,ESG,42 Green Blvd,Reykjavik,IS,101
39,Field Services NA,Services,55 Service Lane,Dallas,US,75201
40,8x8 UK,UCaaS Competitor,28 Cannon Street,London,Greater London,EC4M 6XH
41,RingCentral UK,UCaaS Competitor,60 Victoria Embankment,London,Greater London,EC4Y 0JP
42,Vonage UK,UCaaS Competitor,23 Savile Row,London,Greater London,W1S 2ET
43,Dialpad UK,UCaaS Competitor,41 Eastcheap,London,Greater London,EC3M 1DT
44,GoTo UK,UCaaS Competitor,100 New Bridge Street,London,Greater London,EC4V 6JA
45,Fortinet UK,Security Partner,410 Thames Valley Park,Reading,Berkshire,RG6 1PL
46,Palo Alto Networks UK,Security Partner,5 Canada Square,London,Greater London,E14 5AQ
47,CrowdStrike UK,Security Partner,45 Gresham Street,London,Greater London,EC2V 7BG
48,SentinelOne UK,Security Partner,32 London Bridge Street,London,Greater London,SE1 9SG
49,Sophos UK,Security Partner,The Pentagon,Abingdon,Oxfordshire,OX14 3YP
50,Darktrace UK,Security Partner,Maurice Wilkes Building,Cambridge,Cambridgeshire,CB4 0DS
